,ACCELERATION,ACCELERATION_PEDAL,ACCELERATION_Y,ACCELERATION_Z,BRAKE_PEDAL,CLUTCH_PEDAL,CURVE_RADIUS,DISTANCE,DISTANCE_TO_NEXT_INTERSECTION,DISTANCE_TO_NEXT_STOP_SIGNAL,DISTANCE_TO_NEXT_TRAFFIC_LIGHT_SIGNAL,DISTANCE_TO_NEXT_VEHICLE,DISTANCE_TO_NEXT_YIELD_SIGNAL,FAST_LANE,FOG,FOG_LIGHTS,FRONT_WIPERS,GEARBOX,HEADING,HEAD_LIGHTS,HORN,INDICATORS,INDICATORS_ON_INTERSECTION,LANE,LANE_LATERAL_SHIFT_CENTER,LANE_LATERAL_SHIFT_LEFT,LANE_LATERAL_SHIFT_RIGHT,LANE_WIDTH,RAIN,REAR_WIPERS,ROAD_ANGLE,SNOW,SPEED,SPEED_LIMIT,SPEED_NEXT_VEHICLE,SPEED_Y,SPEED_Z,STEERING_WHEEL
91,0.001906109,0,6.45E-05,0.007601242,400,1,99000,0.0172864,254.4431,99000,250.1441,99000,99000,6,10000,0,0,1,1.570799604,2,0,0,0,5,0.02873204,-0.8678125,0.9252766,3.500089,0,0,90.07784,0,-0.000649297,70,0,-2.38E-06,-0.003366912,-0.06903129
92,0.001916163,0,5.40E-05,0.007517221,400,1,99000,0.017319357,254.4431,99000,250.1441,99000,99000,6,10000,0,0,1,1.570799634,2,0,0,0,5,0.0287319,-0.8678127,0.9252765,3.500089,0,0,90.07784,0,-0.000633974,70,0,-1.87E-06,-0.00330645,-0.06903129
93,0.001880733,0,-0.000184382,0.007403442,400,1,99000,0.017345179,254.4431,99000,250.1441,99000,99000,6,10000,0,0,1,1.570799652,2,0,0,0,5,0.0287319,-0.8678127,0.9252765,3.500089,0,0,90.07784,0,-0.000618701,70,0,-1.90E-06,-0.003246748,-0.06922305
94,0.001847924,0,5.05E-05,0.00716463,400,1,99000,0.017376791,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.570799725,2,0,0,0,5,0.02873179,-0.8678128,0.9252764,3.500089,0,0,90.07784,0,-0.000588652,70,0,-1.31E-06,-0.003130112,-0.06922305
95,0.001798861,0,3.19E-05,0.007020285,400,1,99000,0.017407681,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.57079974,2,0,0,0,5,0.02873179,-0.8678128,0.9252764,3.500089,0,0,90.07784,0,-0.000574056,70,0,-9.88E-07,-0.003073403,-0.06922305
96,0.001736678,0,6.36E-05,0.006867314,400,1,99000,0.01743787,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.570799763,2,0,0,0,5,0.02873179,-0.8678128,0.9252764,3.500089,0,0,90.07784,0,-0.000559988,70,0,-1.45E-06,-0.003017907,-0.0694148
97,0.001608208,0,2.91E-05,0.006540413,400,1,99000,0.0174732,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.570799814,2,0,0,0,5,0.02873156,-0.8678131,0.9252762,3.500089,0,0,90.07784,0,-0.00053317,70,0,-6.68E-07,-0.002910712,-0.0694148
98,0.001536081,0,1.62E-05,0.006373802,400,1,99000,0.017501922,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.570799823,2,0,0,0,5,0.02873156,-0.8678131,0.9252762,3.500089,0,0,90.07784,0,-0.000520598,70,0,-4.93E-07,-0.0028591,-0.0694148
99,0.001464265,0,8.19E-06,0.00620859,400,1,99000,0.017530012,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.570799826,2,0,0,0,5,0.02873156,-0.8678131,0.9252762,3.500089,0,0,90.07784,0,-0.000508603,70,0,-4.00E-07,-0.002808815,-0.0694148
100,0.001394815,0,3.23E-06,0.006047275,400,1,99000,0.017557491,254.4432,99000,250.1442,99000,99000,6,10000,0,0,1,1.570799826,2,0,0,0,5,0.02873139,-0.8678132,0.925276,3.500089,0,0,90.07784,0,-0.000497174,70,0,-3.57E-07,-0.002759838,-0.0694148
